Id	Code	Level	Time	Venue	VenueId	Title	Authors	
W2	W	3	2016	The seventh international EuroVis workshop on Visual Analytics	EuroVA 2016	MultiLayerMatrix: Visualizing Large Taxonomic Datasets	"Tuan Dang,Hong Cui,Angus Forbes"	
J5	J	1	2016	Computer Graphics Forum 35(3)	EuroVis 2016	TimeArcs: Visualizing Fluctuations in Dynamic Networks	"Tuan Dang,Nick Pendar,Angus Forbes"	27%
W1	W	3	2015	International Workshop on Visualizations and User Interfaces for Ontologies and Linked Data	VOILA 2015	ProvenanceMatrix: A Visualization Tool for Multi-Taxonomy Alignments	"Tuan Dang,Nico Franz,Bertram Ludascher,Angus Forbes"	
C10	C	2	2015	BMC Proceedings 9(6)	BioVis 2015	ReactionFlow: An Interactive Visualization Tool for Causality Analysis in Biological Pathways	"Tuan Dang,Paul Murray,Jillian Aurisano,Angus Forbes"	
C9	C	2	2015	BMC Proceedings 9(6)	BioVis 2015	PathwayMatrix: Visualizing Binary Relationships between Proteins in Biological Pathways	"Tuan Dang,Paul Murray,Angus Forbes"	
C8	C	3	2014	Proceedings of the 10th International Symposium on Visual Computing	ISVC 2014	PixSearcher: Searching Similar Images in Large Image Collections through Pixel Descriptors	"Tuan Dang,Leland Wilkinson"	
J4	J	1	2014	IEEE Transactions on Visualization and Computer Graphics 20(12)	VAST 2014	Transforming Scagnostics to Reveal Hidden Features	"Tuan Dang,Leland Wilkinson"	23%
C7	C	2	2014	 Proceedings of the 7th IEEE Pacific Visualization Symposium	PacificVis 2014	ScagExplorer: Exploring Scatterplots by Their Scagnostics	"Tuan Dang,Leland Wilkinson"	29%
C6	C	3	2013	Proceedings of the 9th International Symposium on Visual Computing	ISVC 2013	TimeExplorer: Similarity Search Time Series by Their Signatures	"Tuan Dang,Leland Wilkinson"	
C5	C	3	2012	Proceedings of the 5th International Symposium on Visual Information Communication and Interaction	VINCI 2012	Detecting interesting distributions in multiple time series data	"Tuan Dang,Leland Wilkinson"	
C4 	C	3	2012	 Proceedings of the 8th International Symposium on Visual Computing	ISVC 2012	FmFinder: Search and Filter Your Favorite Songs	"Tuan Dang,Anushka Anand,Leland Wilkinson"	
J3	J	1	2012	IEEE Transactions on Visualization and Computer Graphics 19(3)	TVCG 2012	TimeSeer: Scagnostics for High-Dimensional Time Series	"Tuan Dang,Anushka Anand,Leland Wilkinson"	
C3	C	1	2012	Proceedings of IEEE Conference on Visual Analytics Science and Technology	VAST 2012	Visual Pattern Discovery using Random Projections	"Anushka Anand,Leland Wilkinson,Tuan Dang"	28%
J2	J	1	2012	Journal ACM Transactions on Knowledge Discovery from Data	TKDD 2012	Substantial improvements in the set-covering projection classifier CHIRP	"Tuan Dang,Anushka Anand,Leland Wilkinson"	
C2	C	1	2011	Proceedings of the 17th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining	KDD 2011	CHIRP: A new classifier based on Composite Hypercubes on Iterated Random Projections	"Leland Wilkinson,Anushka Anand,Tuan Dang"	17.50%
J1	J	1	2010	 IEEE Transactions on Visualization AndComputer Graphics 16(6)	InfoVis 2010	Stacking Graphic Elements to Avoid Over-Plotting	"Tuan Dang,Anushka Anand,Leland Wilkinson"	26%
C1	C	1	2009	Proceedings of IEEE International Conference on Data Mining	ICDM 2009	An L-infinity Norm Visual Classier	"Anushka Anand,Leland Wilkinson,Tuan Dang"	17.80%
