Year	Rating	Conference	Title	Author Names
1979	8.3	Drama	"$weepstake$"	Anderson, John (I);Arkin, Adam;Avalon, Frankie;Backus, Jim (I);Bernardi, Herschel;Brooks, Foster;Burghoff, Gary;Byrnes, Edd;Carey, Ron (I);Coco, James;Coote, Robert;Daily, Bill;Dana, Bill;Fargas, Antonio;Forrest, Frederic;Foster, Phil (I);Gautier, Richard;Gibson, Henry (I);Haid, Charles;Harris, Jonathan (I);Hollander, David (I);Hunter, Tab (I);Hutton, Jim (I);Jones, Jack (I);Kopell, Bernie;MacKenzie, Philip Charles;Macnee, Patrick;McDowall, Roddy;Mullavey, Greg;Mulligan, Richard;Nolan, Lloyd;Palillo, Ron;Patrick, Dennis (I);Poston, Tom;Ray, Aldo;Shera, Mark;Stiers, David Ogden;Sylvan, Paul;Tayback, Vic;Vigoda, Abe;Walmsley, Jon (III);Willard, Fred;Woolery, Chuck
1961	9.2	Drama	"'Way Out"	Balsam, Martin;Brooks, Martin E.;Broun, Heywood Hale;Cameron, Jean;Cimino, Leonardo;Conrad, Michael (I);Coolidge, Philip;Dahl, Roald;Daly, Frank;Dawson, Anthony (I);Elcar, Dana;Everhart, Rex;Finnerty, Warren;Fitzgerald, Neil (I);Fowkes, Conard;Garrison, Sean (I);Gibson, John (I);Hamilton, John F.;Hamilton, Murray (I);Hughes, Barnard;Huston, Martin (I);Jones, Henry (I);Keefer, Don;Lenard, Mark;McCarthy, Kevin (I);McCormick, Myron;McGiver, John (I);Morgan, Chuck (IV);Morgan, Dan (I);Morse, Barry (I);Morse, Richard (II);Newman, Barry (I);O'Connor, Tim (I);O'Neill, Dick (I);Overton, Frank;Parfrey, Woodrow;Patten, Moultrie;Patterson, James (I);Rawlins, Lester;Richards, Paul (I);Richardson, Lee (I);Rolf, Frederick;Ryan, Mitchell (II);Ryder, Alfred;Selzer, Milton;Shirley, Tom (I);Stevens, Paul (I);Thomas, Richard (I);Traylor, William (I);Turner, George (III);Walston, Ray;Weaver, Fritz
2006	8.8	Comedy	"'t Schaep Met De 5 Pooten"	Abelsma, Ben (II);Blok, Peter;Boermans, Theu;Bokma, Pierre;Bolhuis, Peter;Boomsma, Arie;Borgmans, Warre;Bulder, Reinier;Casado, Samuel Hubner;Ceelen, Aat;Clemens, Guy (II);Costa, Beppe (I);Cox, Gerard;Dagelet, Mingus;Dchar, Nasrdin;de Jong, Jelle (II);Ederveen, Arjan;Evenblij, Frank;Fischer, Martijn;Frans, Lange;Gernandt, Tygo;Goes, Daan;Gomperts, Niels;Grot, Gianni;Hefting, Philippe;Heinsen, Benjamin;Houtappels, Frank;Huijbregts, Marc-Marie;Huisman, Michiel;Hulst, Kees;Jansen, Cas;Kas, Ton;Kesting, Hans;Klever, Bart;Kooij, Paul;Maassen, Theo;Martina, Joshi;Michielsen, Harpert;Oratmangoen, Gerson;Polnaija, Joenoes;R�mer, Han;R�mer, Piet;Scholten van Aschat, Gijs;Siegertsz, Redmar;Spitzenberger, Jeroen;Steenbeeke, Laus;Stoof, Patrick;Strategier, Felix;Tajes, Juan;Tajes, Juan Carlos;Timisela, Joshua;Valcke, Serge-Henri;van der Lubbe, Huub;van Duin, Andr�;Veen, Arthur;Wouterse, Jack
2006	8.4	Action	"009-1"	Akimoto, Y�suke;Calvert, Wendel;Campbell, Charles (II);Chijiwa, Ry�saku;Dalmon, Michael;Douglas, Jason (IV);End�, Junichi;Fenley, Steve;Fleck, Marty;Fraser, Glenn (II);Fujiwara, Keiji;Ginga, Banj�;Gordon, Bobby (III);Grelle, Josh (I);Gremillion, John;Haddock, Gray G.;Hickman, Jay (I);Hydari, Aamir;Imaruoka, Atsushi;Ishigami, Yuuichi;Iwasaki, Masami;James, Grant (I);Jones, Kyle (III);Kawamoto, Kunihiro;Kraft, Robert (III);Kusumi, Naomi;Love, Andrew (IV);Loveless, Chris (III);Manley, George;Matsuoka, Daisuke (I);Mignogna, Vic;Miyajima, Fumitoshi;Mogami, Tsuguo;Morikawa, Toshiyuki;Mungle, Rob;Noda, Kei'ichi;Ohta, Tetsuharu;Reynolds, Xero;Ross, Phil (II);Sakai, Keik�;Sawada, Masataka;Swasey, John;Tamura, Kensuke;Toriumi, Kosuke;Witherspoon, Jackson;Yamanoi, Jin;Yara, Y�saku;�tsuka, H�ch�
2011	8.6	Comedy	"10 O'Clock Live"	Anderson, Clive (I);Armstrong, Jesse (I);Bacon, Richard (I);Baddiel, David;Bailey, Shaun (I);Belo, Brian;Bland, Christopher (III);Blond, Phillip;Bragg, Billy (I);Brake, Tom;Brandreth, Gyles;Brooker, Charlie;Burnham, Andy;Campbell, Alastair;Cardle, Matt;Carlisle, Clarke;Carr, Jimmy (II);Clifton, Bernie;Cole, Harry (I);Crow, Bob (I);Daniels, Paul (II);Dennis, Les (I);Dubner, Stephen (I);Farage, Nigel;Finkelstein, Daniel;Galloway, George;George, Boy (I);Glees, Anthony;Goldsmith, Zac;Greer, Shane (II);Hall, Rich (I);Harford, Tim (II);Hari, Johann;Harris, Evan (IV);Hasan, Mehdi;Howker, Ed;Hughes, Simon (VII);Jones, Owen (VI);Keiser, Max (I);Kwarteng, Kwasi;Lamb, Dave (I);Littlewood, Mark (IV);Livingstone, Ken (I);Lomborg, Bj�rn;Lowman, James;Malik, Shiv;Massow, Ivan;Matthews, Spencer (II);Matthews, Stuart (II);Max, James;McMullan, Paul;Mitchell, David (VI);Nawaz, Maajid;Norris, Steven (I);Novak, Kayvan;Obama, Barack;Oborne, Peter;Osman, Richard;Paphitis, Theo;Pitcher, George (II);Poulter, Dan;Powell, Jonathan (VI);Prescott, John (III);Raab, Dominic;Rifkind, Hugo;Ross, Carne;Sabir, Rizwaan;Sergeant, John (II);Shapps, Grant;Sharp, Richard (VI);Singleton, Alex;Skinner, Dan Renton;Sparsi, Lloyd;Spielberg, Steven;Spurlock, Morgan;Starkey, David (I);Stewart, Rory (I);Stone, Andrew (XII);Stringfellow, Peter;Wehn, Henning;Willetts, David (II);Williamson, Shaun;Winston, Robert (III);Yiannopoulos, Milo;Young, Toby (I)
2009	8.4	Comedy	"10 Things I Hate About You"	Albert, Aaron (II);Alvarado, Allen;Benedict, Jordan;Braun, Nicholas (I);Brighton, Jimmy;Burkey, Bobby;Crown, Price;Damon, Grey;Elms, Kevin;Erasme, Johnny;Francisco, Rafael;Garrett, LaMonica;Gould, Wray;Hill, Dave (VIII);Jordan, Reggie (I);Kaplan, Kyle;Kim, Paul S.;Leatherberry, Kyle;Lee, Justin (II);LeFlore, Jensen (I);Lyde, Ted;McMains, Cody (I);Miller, Larry (I);Myers, Eli;Parks, Ladell;Peck, Ethan (I);Phillips, Jay (III);Pinkston, Ryan (I);Rodriguez, Alexander (III);Salvatore Jr., Jack;Santiago, Ray;Shand, Christopher;Simpson, Jeremy Ray;Spence, Joel (I);Staggs, Alex;Stone, Benjamin (II);Storrs, David (II);Washington, Michael Benjamin;Wharton, Richard (I);Wing, Sean;Woods, Jim (III);Young, Craig Robert;Zylka, Chris
2014	8.3	Comedy	"100 Things to Do Before High School"	Adams, Guilford;Aggerwhil, Raajeev;Bonilla, Joseph (II);Carey, Malakai;Clasen, Colin;Daniel, Porfirio Caballero;De Sena, Jack;Decenzo, Gianni;DiNuzzo, Michael Anthony;Dittman, Henry;Duran, Cai;Ehrich, Max;Folmar, Marcus;Furu, Nicholas;Gibson, Tyler (VIII);Jay, Baron;Joyner, Owen;Melton, Jacob (I);Miller, Matthew Scott (I);Morris, Raymond (I);Neiman, Christopher;Nittolo, Chazz;O'Connor, Mickey (II);Robles, Alex N.;Royer, Benjamin;Royer, Matthew (III);Shelat, Prem;Shivji, Jameel;Soni, Karan (I);Suter, Nicolas Eduard;Toombs, Jaheem;Tyler, Brent (I);Wrighster, Ajani
2006	8.8	Drama	"1001 gece"	Aydan, Ege;Belgin, Metin;Bilingen, Erdal;Demir, Erg�n;D�venci, Ismail;Erdal, Efe Can;Ergen�, Halit;Ermakastar, Merih;Firat, Mert;Flordun, Tardu;Karikutal, Temmuz;Kumbaracibasi, Teoman;K���k�aglayan, Bartu;Onurlu, G�rsan Piri;Tekniker, Suphi;�ekmez, Metin;�inar, Efe
1991	8.6	Drama	"101-kai me no puropozu"	Eguchi, Y�suke;Hasegawa, Hatsunori;Kosaka, Kazuya;Maeda, Shinnosuke;Satoi, Kenta;Takeda, Tetsuya;Takeuchi, Riki;Yamazaki, Mitsuru
2006	8.6	Drama	"11 Cameras"	Belford, Steve;Campbell, Alex (I);Carrera, Brandon;Casey, Dillon (I);Chotalia, Yogesh;Doyle, Colin (I);Fyfe, Mac;Gilchrist, Riley;Grant, Jamaal;Hunter, Sean (IV);Ishmael, Marvin (I);Jarsky, Joris;Mann, Jasbir;Roberto, Adrian;Roop, Jeff (I);Sitahal, Errol;Van Sprang, Alan;Willcocks, Chuck
