Year	Rating	Conference	Title	Author Names
2007	8	removes_modification	"Phospho-(Ser45, Thr41) beta-catenin is phosphorylated by GSK3 at Ser37."	"FRAT1,2__GSK3B;CTNB1"
2004	8	removes_modification	"Membrane-bound factor Xa catalyzes the activation of small amounts of thrombin. The amino terminal portion of prothrombin is released as an activation peptide, which can be cleaved further by activated thrombin. Neither the full-length activation peptide nor its cleavage products have known functions."	factor X light chain__F10(235-488)__Ca2+;THRB
2009	8	translocation	"Secretion of GLP-1 from intestinal L-cells is dependent on a rise in cytosolic calcium which, in turn, is stimulated by glucose (requires the GLUT2 glucose transporter), fatty acids (especially monounsaturated fatty acids, requires the GPR120 and GPR40 receptors), insulin, leptin, gastrin-releasing peptide, cholinergic transmitters (requires M1 and M2 muscarinic receptors), amino acids (requires mitogen activated protein kinase pathway), beta-adrenergic transmitters, and peptidergic transmitters. The exact mechanisms controlling secretion have not been elucidated."	GNB3__GNG13__GNAT3;GLUC
2009	8	removes_modification	"Secretion of GLP-1 from intestinal L-cells is dependent on a rise in cytosolic calcium which, in turn, is stimulated by glucose (requires the GLUT2 glucose transporter), fatty acids (especially monounsaturated fatty acids, requires the GPR120 and GPR40 receptors), insulin, leptin, gastrin-releasing peptide, cholinergic transmitters (requires M1 and M2 muscarinic receptors), amino acids (requires mitogen activated protein kinase pathway), beta-adrenergic transmitters, and peptidergic transmitters. The exact mechanisms controlling secretion have not been elucidated."	GNB3__GNG13__GNAT3;GLUC
2009	8	adds_modification	"Secretion of GLP-1 from intestinal L-cells is dependent on a rise in cytosolic calcium which, in turn, is stimulated by glucose (requires the GLUT2 glucose transporter), fatty acids (especially monounsaturated fatty acids, requires the GPR120 and GPR40 receptors), insulin, leptin, gastrin-releasing peptide, cholinergic transmitters (requires M1 and M2 muscarinic receptors), amino acids (requires mitogen activated protein kinase pathway), beta-adrenergic transmitters, and peptidergic transmitters. The exact mechanisms controlling secretion have not been elucidated."	GNB3__GNG13__GNAT3;GLUC
2005	8	removes_modification	"Phosphorylation of IRAK-1 is due to three sequential phosphorylation steps, which leads to full or hyper-phopshorylation of IRAK1. Under in vitro conditions these are all autophosphorylation events. First, Thr-209 is phosphorylated resulting in a conformational change of the kinase domain. Next, Thr-387 in the activation loop is phosphorylated, leading to full enzymatic activity. Several additional residues are phosphorylated in the proline-, serine-, and threonine-rich (ProST) region between the N-terminal death domain and kinase domain. Hyperphosphorylation of this region leads to dissociation of IRAK1 from the activated receptor complex. The kinase activity of IRAK1 is dispensable for IL1-induced NFkB and MAP kinase activation (Knop & Martin, 1999), unlike that of IRAK4 (Suzuki et al. 2002; Kozicak-Holbro et al. 2007), It has been suggested that IRAK1 primarily acts as an adaptor for TRAF6 (Conze et al. 2008)."	"p-T209,387-IRAK1;CD14"
2005	8	translocation	"Phosphorylation of IRAK-1 is due to three sequential phosphorylation steps, which leads to full or hyper-phopshorylation of IRAK1. Under in vitro conditions these are all autophosphorylation events. First, Thr-209 is phosphorylated resulting in a conformational change of the kinase domain. Next, Thr-387 in the activation loop is phosphorylated, leading to full enzymatic activity. Several additional residues are phosphorylated in the proline-, serine-, and threonine-rich (ProST) region between the N-terminal death domain and kinase domain. Hyperphosphorylation of this region leads to dissociation of IRAK1 from the activated receptor complex. The kinase activity of IRAK1 is dispensable for IL1-induced NFkB and MAP kinase activation (Knop & Martin, 1999), unlike that of IRAK4 (Suzuki et al. 2002; Kozicak-Holbro et al. 2007), It has been suggested that IRAK1 primarily acts as an adaptor for TRAF6 (Conze et al. 2008)."	"p-T209,387-IRAK1;CD14"
2005	8	adds_modification	"Phosphorylation of IRAK-1 is due to three sequential phosphorylation steps, which leads to full or hyper-phopshorylation of IRAK1. Under in vitro conditions these are all autophosphorylation events. First, Thr-209 is phosphorylated resulting in a conformational change of the kinase domain. Next, Thr-387 in the activation loop is phosphorylated, leading to full enzymatic activity. Several additional residues are phosphorylated in the proline-, serine-, and threonine-rich (ProST) region between the N-terminal death domain and kinase domain. Hyperphosphorylation of this region leads to dissociation of IRAK1 from the activated receptor complex. The kinase activity of IRAK1 is dispensable for IL1-induced NFkB and MAP kinase activation (Knop & Martin, 1999), unlike that of IRAK4 (Suzuki et al. 2002; Kozicak-Holbro et al. 2007), It has been suggested that IRAK1 primarily acts as an adaptor for TRAF6 (Conze et al. 2008)."	"p-T209,387-IRAK1;IRAK1"
2005	8	adds_modification	"Phosphorylation of IRAK-1 is due to three sequential phosphorylation steps, which leads to full or hyper-phopshorylation of IRAK1. Under in vitro conditions these are all autophosphorylation events. First, Thr-209 is phosphorylated resulting in a conformational change of the kinase domain. Next, Thr-387 in the activation loop is phosphorylated, leading to full enzymatic activity. Several additional residues are phosphorylated in the proline-, serine-, and threonine-rich (ProST) region between the N-terminal death domain and kinase domain. Hyperphosphorylation of this region leads to dissociation of IRAK1 from the activated receptor complex. The kinase activity of IRAK1 is dispensable for IL1-induced NFkB and MAP kinase activation (Knop & Martin, 1999), unlike that of IRAK4 (Suzuki et al. 2002; Kozicak-Holbro et al. 2007), It has been suggested that IRAK1 primarily acts as an adaptor for TRAF6 (Conze et al. 2008)."	"p-T209,387-IRAK1;CD14"
2005	8	adds_modification	"Phosphorylation of IRAK-1 is due to three sequential phosphorylation steps, which leads to full or hyper-phopshorylation of IRAK1. Under in vitro conditions these are all autophosphorylation events. First, Thr-209 is phosphorylated resulting in a conformational change of the kinase domain. Next, Thr-387 in the activation loop is phosphorylated, leading to full enzymatic activity. Several additional residues are phosphorylated in the proline-, serine-, and threonine-rich (ProST) region between the N-terminal death domain and kinase domain. Hyperphosphorylation of this region leads to dissociation of IRAK1 from the activated receptor complex. The kinase activity of IRAK1 is dispensable for IL1-induced NFkB and MAP kinase activation (Knop & Martin, 1999), unlike that of IRAK4 (Suzuki et al. 2002; Kozicak-Holbro et al. 2007), It has been suggested that IRAK1 primarily acts as an adaptor for TRAF6 (Conze et al. 2008)."	"p-T209,387-IRAK1;IRAK4"
